"team","var","min_val","max_val"
"LAD","date",Inf,-Inf
"LAD","boxscore",Inf,-Inf
"LAD","team",Inf,-Inf
"LAD","home_or_away",0,0
"LAD","opponent",Inf,-Inf
"LAD","win_or_loss",Inf,-Inf
"LAD","runs",0,22
"LAD","runs_allowed",0,20
"LAD","innings",0,22
"LAD","win_loss_record",Inf,-Inf
"LAD","rank",1,10
"LAD","games_behind",0.5,35
"LAD","win",0,0
"LAD","loss",0,0
"LAD","save",0,0
"LAD","time",Inf,-Inf
"LAD","day_or_night",Inf,-Inf
"LAD","attendance",0,78672
"LAD","streak",Inf,-Inf
"LAD","originally_scheduled",0,0
"LAD","year",1958,2017
"LAD","games_ahead",-35,21
"LAD","run_diff",-19,19
"LAD","r_so_far",13,40086
"LAD","ra_so_far",1,36836
"LAD","rd_so_far",-96,3283
"LAD","wins_so_far",1,5131
"LAD","losses_so_far",0,4397
"LAD","record_so_far",0.333333333333333,1
"LAD","attendance_so_far",22735,298306599
